Seg_number1,Region,Unique_ID,Presence_2021,Presence_2007,KelpLoss,latitude,longitude,,,,
1,Barkley,Barkley1,0,1,0,48.83963889,-125.1406917,,,KelpLoss,0 = lost
2,Barkley,Barkley2,0,1,0,48.83938889,-125.1410417,,,,1 = persisted
20,Barkley,Barkley20,1,1,1,48.83699167,-125.1441167,,,,
21,Barkley,Barkley21,1,1,1,48.83697778,-125.1438028,,,,
25,Barkley,Barkley25,1,1,1,48.83639167,-125.1435167,,,,
26,Barkley,Barkley26,1,1,1,48.836175,-125.1436917,,,,
42,Barkley,Barkley42,1,1,1,48.83380278,-125.1466056,,,,
43,Barkley,Barkley43,1,1,1,48.83405278,-125.1466778,,,,
44,Barkley,Barkley44,1,1,1,48.83432222,-125.1466639,,,,
45,Barkley,Barkley45,1,1,1,48.83455833,-125.1467417,,,,
46,Barkley,Barkley46,1,1,1,48.83464167,-125.1470833,,,,
47,Barkley,Barkley47,0,1,0,48.83445833,-125.1473917,,,,
48,Barkley,Barkley48,0,1,0,48.83426111,-125.1474333,,,,
52,Barkley,Barkley52,0,1,0,48.83397778,-125.1480333,,,,
53,Barkley,Barkley53,0,1,0,48.83403611,-125.1484306,,,,
60,Barkley,Barkley60,1,1,1,48.83299722,-125.1490417,,,,
64,Barkley,Barkley64,1,1,1,48.83243611,-125.1487222,,,,
65,Barkley,Barkley65,1,1,1,48.83263611,-125.1489917,,,,
66,Barkley,Barkley66,0,1,0,48.83266667,-125.1493056,,,,
71,Barkley,Barkley71,1,1,1,48.83856389,-125.1350139,,,,
73,Barkley,Barkley73,0,1,0,48.83909444,-125.1348972,,,,
74,Barkley,Barkley74,0,1,0,48.83935278,-125.1347778,,,,
78,Barkley,Barkley78,0,1,0,48.84039444,-125.13445,,,,
79,Barkley,Barkley79,0,1,0,48.840625,-125.1342306,,,,
90,Barkley,Barkley90,0,1,0,48.84305833,-125.1321611,,,,
91,Barkley,Barkley91,0,1,0,48.84324722,-125.1318667,,,,
92,Barkley,Barkley92,0,1,0,48.84346944,-125.1316417,,,,
93,Barkley,Barkley93,0,1,0,48.84361389,-125.1314028,,,,
94,Barkley,Barkley94,0,1,0,48.84386667,-125.1312528,,,,
95,Barkley,Barkley95,0,1,0,48.844025,-125.1309889,,,,
96,Barkley,Barkley96,0,1,0,48.84426667,-125.1308028,,,,
97,Barkley,Barkley97,0,1,0,48.84447778,-125.1305472,,,,
114,Barkley,Barkley114,0,1,0,48.84778889,-125.1290389,,,,
119,Barkley,Barkley119,0,1,0,48.84862222,-125.1274944,,,,
120,Barkley,Barkley120,0,1,0,48.84885556,-125.1272833,,,,
121,Barkley,Barkley121,0,1,0,48.848875,-125.1268667,,,,
122,Barkley,Barkley122,0,1,0,48.84898056,-125.1264917,,,,
123,Barkley,Barkley123,0,1,0,48.84911944,-125.1261389,,,,
124,Barkley,Barkley124,0,1,0,48.84923056,-125.1257694,,,,
131,Barkley,Barkley131,0,1,0,48.85021389,-125.1236083,,,,
132,Barkley,Barkley132,0,1,0,48.85036944,-125.123425,,,,
133,Barkley,Barkley133,0,1,0,48.85048333,-125.1230472,,,,
134,Barkley,Barkley134,0,1,0,48.85041667,-125.1226861,,,,
135,Barkley,Barkley135,0,1,0,48.85038056,-125.1222806,,,,
136,Barkley,Barkley136,0,1,0,48.85015,-125.1220722,,,,
156,Barkley,Barkley156,0,1,0,48.854225,-125.1215778,,,,
157,Barkley,Barkley157,0,1,0,48.85426389,-125.1211722,,,,
158,Barkley,Barkley158,0,1,0,48.85445278,-125.1210694,,,,
159,Barkley,Barkley159,0,1,0,48.85456111,-125.1206944,,,,
160,Barkley,Barkley160,0,1,0,48.85433333,-125.1205333,,,,
161,Barkley,Barkley161,0,1,0,48.85429444,-125.1201528,,,,
162,Barkley,Barkley162,0,1,0,48.854375,-125.1197611,,,,
163,Barkley,Barkley163,0,1,0,48.85452778,-125.1194222,,,,
164,Barkley,Barkley164,0,1,0,48.85455,-125.1190139,,,,
165,Barkley,Barkley165,0,1,0,48.85448056,-125.1186417,,,,
166,Barkley,Barkley166,0,1,0,48.85446111,-125.1183,,,,
167,Barkley,Barkley167,0,1,0,48.85423611,-125.1182889,,,,
168,Barkley,Barkley168,0,1,0,48.85409722,-125.1179361,,,,
169,Barkley,Barkley169,0,1,0,48.853825,-125.11795,,,,
170,Barkley,Barkley170,0,1,0,48.85378611,-125.1171361,,,,
171,Barkley,Barkley171,0,1,0,48.85404167,-125.1170139,,,,
172,Barkley,Barkley172,0,1,0,48.85409444,-125.116589,,,,
173,Barkley,Barkley173,0,1,0,48.85402778,-125.1162306,,,,
174,Barkley,Barkley174,0,1,0,48.85386944,-125.1159306,,,,
175,Barkley,Barkley175,0,1,0,48.85364722,-125.1160194,,,,
176,Barkley,Barkley176,0,1,0,48.85345556,-125.1160194,,,,
177,Barkley,Barkley177,0,1,0,48.85325,-125.116275,,,,
178,Barkley,Barkley178,1,1,1,48.85306944,-125.1165806,,,,
179,Barkley,Barkley179,1,1,1,48.85653333,-125.109079,,,,
184,Barkley,Barkley184,0,1,0,48.85756111,-125.1084306,,,,
185,Barkley,Barkley185,0,1,0,48.85767778,-125.1080778,,,,
186,Barkley,Barkley186,0,1,0,48.857625,-125.1076694,,,,
187,Barkley,Barkley187,0,1,0,48.857725,-125.1073306,,,,
188,Barkley,Barkley188,0,1,0,48.85783333,-125.1070389,,,,
193,Barkley,Barkley193,0,1,0,48.85941389,-125.106325,,,,
204,Barkley,Barkley204,0,1,0,48.86356667,-125.1075,,,,
212,Barkley,Barkley212,0,1,0,48.865025,-125.1052306,,,,
213,Barkley,Barkley213,0,1,0,48.86513611,-125.1048528,,,,
214,Barkley,Barkley214,0,1,0,48.86521111,-125.10445,,,,
215,Barkley,Barkley215,0,1,0,48.86533056,-125.1040833,,,,
216,Barkley,Barkley216,0,1,0,48.86572778,-125.1035361,,,,
217,Barkley,Barkley217,0,1,0,48.86583333,-125.1031611,,,,
218,Barkley,Barkley218,0,1,0,48.86571667,-125.1028694,,,,
219,Barkley,Barkley219,0,1,0,48.86559722,-125.1025028,,,,
220,Barkley,Barkley220,0,1,0,48.86582222,-125.1017583,,,,
221,Barkley,Barkley221,0,1,0,48.86599167,-125.1014444,,,,
222,Barkley,Barkley222,0,1,0,48.866125,-125.1010889,,,,
223,Barkley,Barkley223,0,1,0,48.86628889,-125.1008528,,,,
224,Barkley,Barkley224,0,1,0,48.86704167,-125.1004056,,,,
225,Barkley,Barkley225,0,1,0,48.86726944,-125.1003306,,,,
226,Barkley,Barkley226,0,1,0,48.86716389,-125.09995,,,,
227,Barkley,Barkley227,0,1,0,48.86731667,-125.0996083,,,,
237,Barkley,Barkley237,0,1,0,48.86913611,-125.09695,,,,
238,Barkley,Barkley238,0,1,0,48.86936111,-125.0967167,,,,
239,Barkley,Barkley239,0,1,0,48.86951944,-125.0963861,,,,
240,Barkley,Barkley240,0,1,0,48.86966389,-125.0960389,,,,
241,Barkley,Barkley241,0,1,0,48.86985833,-125.0957583,,,,
242,Barkley,Barkley242,0,1,0,48.87005833,-125.0954806,,,,
243,Barkley,Barkley243,0,1,0,48.87026944,-125.0952194,,,,
244,Barkley,Barkley244,0,1,0,48.8705,-125.0950056,,,,
245,Barkley,Barkley245,0,1,0,48.87071944,-125.0947611,,,,
247,Barkley,Barkley247,0,1,0,48.87137222,-125.0950639,,,,
248,Barkley,Barkley248,0,1,0,48.87179444,-125.0945528,,,,
249,Barkley,Barkley249,0,1,0,48.87229444,-125.0942417,,,,
262,Barkley,Barkley262,0,1,0,48.87468611,-125.0906889,,,,
268,Barkley,Barkley268,0,1,0,48.87608611,-125.0913167,,,,
269,Barkley,Barkley269,0,1,0,48.87626667,-125.0910194,,,,
270,Barkley,Barkley270,0,1,0,48.87640556,-125.0906722,,,,
271,Barkley,Barkley271,0,1,0,48.87664722,-125.0904861,,,,
272,Barkley,Barkley272,0,1,0,48.87685833,-125.0902361,,,,
277,Barkley,Barkley277,0,1,0,48.87751111,-125.0906722,,,,
278,Barkley,Barkley278,0,1,0,48.87766944,-125.0903472,,,,
279,Barkley,Barkley279,0,1,0,48.87791667,-125.0901833,,,,
280,Barkley,Barkley280,0,1,0,48.8779,-125.0897667,,,,
281,Barkley,Barkley281,1,1,1,48.878,-125.0893917,,,,
288,Barkley,Barkley288,0,1,0,48.87741111,-125.0852111,,,,
289,Barkley,Barkley289,0,1,0,48.87760278,-125.0849194,,,,
290,Barkley,Barkley290,0,1,0,48.87780833,-125.0846556,,,,
291,Barkley,Barkley291,0,1,0,48.87805,-125.0844722,,,,
294,Barkley,Barkley294,1,1,1,48.87865278,-125.0836389,,,,
295,Barkley,Barkley295,1,1,1,48.87884722,-125.0833472,,,,
296,Barkley,Barkley296,1,1,1,48.87903333,-125.08305,,,,
300,Barkley,Barkley300,1,1,1,48.87955833,-125.0818222,,,,
301,Barkley,Barkley301,1,1,1,48.87952222,-125.0814194,,,,
302,Barkley,Barkley302,1,1,1,48.87962222,-125.0810389,,,,
303,Barkley,Barkley303,1,1,1,48.87979167,-125.0807222,,,,
304,Barkley,Barkley304,1,1,1,48.880025,-125.0805139,,,,
305,Barkley,Barkley305,1,1,1,48.88021944,-125.079825,,,,
306,Barkley,Barkley306,1,1,1,48.88017222,-125.0794139,,,,
307,Barkley,Barkley307,1,1,1,48.88015,-125.0790694,,,,
339,Barkley,Barkley339,0,1,0,48.832225,-125.1501389,,,,
352,Barkley,Barkley352,1,1,1,48.82403056,-125.1588611,,,,
353,Barkley,Barkley353,1,1,1,48.82422778,-125.1591389,,,,
354,Barkley,Barkley354,1,1,1,48.82435278,-125.1594944,,,,
355,Barkley,Barkley355,1,1,1,48.82450278,-125.1598111,,,,
356,Barkley,Barkley356,1,1,1,48.82470556,-125.1600722,,,,
357,Barkley,Barkley357,1,1,1,48.82479722,-125.1604556,,,,
358,Barkley,Barkley358,1,1,1,48.82477778,-125.1608639,,,,
359,Barkley,Barkley359,1,1,1,48.82462222,-125.1612,,,,
360,Barkley,Barkley360,1,1,1,48.82433056,-125.16175,,,,
365,Barkley,Barkley365,1,1,1,48.821925,-125.1612444,,,,
367,Barkley,Barkley367,1,1,1,48.82161667,-125.1618528,,,,
370,Barkley,Barkley370,1,1,1,48.82108611,-125.1627583,,,,
371,Barkley,Barkley371,1,1,1,48.82120278,-125.1631222,,,,
372,Barkley,Barkley372,1,1,1,48.82131389,-125.1634667,,,,
373,Barkley,Barkley373,1,1,1,48.82124722,-125.1638639,,,,
374,Barkley,Barkley374,1,1,1,48.82119444,-125.1642639,,,,
375,Barkley,Barkley375,1,1,1,48.82133333,-125.1646167,,,,
376,Barkley,Barkley376,1,1,1,48.82142222,-125.1650056,,,,
377,Barkley,Barkley377,1,1,1,48.82151667,-125.1653861,,,,
378,Barkley,Barkley378,1,1,1,48.82071667,-125.1655417,,,,
379,Barkley,Barkley379,1,1,1,48.82037778,-125.1661778,,,,
380,Barkley,Barkley380,1,1,1,48.82011944,-125.1662944,,,,
385,Barkley,Barkley385,1,1,1,48.81802222,-125.1664611,,,,
386,Barkley,Barkley386,1,1,1,48.81801944,-125.1668694,,,,
387,Barkley,Barkley387,1,1,1,48.81826667,-125.1681778,,,,
388,Barkley,Barkley388,0,1,0,48.818025,-125.1690583,,,,
389,Barkley,Barkley389,1,1,1,48.81788333,-125.1694083,,,,
390,Barkley,Barkley390,1,1,1,48.81720278,-125.1721361,,,,
391,Barkley,Barkley391,1,1,1,48.81693889,-125.1699944,,,,
407,Barkley,Barkley407,1,1,1,48.79800556,-125.2061306,,,,
408,Barkley,Barkley408,1,1,1,48.79801667,-125.2057222,,,,
409,Barkley,Barkley409,1,1,1,48.79810833,-125.2053417,,,,
410,Barkley,Barkley410,1,1,1,48.79823056,-125.204975,,,,
411,Barkley,Barkley411,1,1,1,48.79825278,-125.2045694,,,,
412,Barkley,Barkley412,1,1,1,48.79831667,-125.2041722,,,,
413,Barkley,Barkley413,1,1,1,48.79831111,-125.2037639,,,,
414,Barkley,Barkley414,1,1,1,48.79835278,-125.2033611,,,,
415,Barkley,Barkley415,1,1,1,48.79840556,-125.2029611,,,,
416,Barkley,Barkley416,1,1,1,48.79842778,-125.2025556,,,,
417,Barkley,Barkley417,1,1,1,48.79841389,-125.2021472,,,,
418,Barkley,Barkley418,1,1,1,48.79838889,-125.2017417,,,,
419,Barkley,Barkley419,1,1,1,48.79834444,-125.2013389,,,,
420,Barkley,Barkley420,1,1,1,48.79829444,-125.2009361,,,,
421,Barkley,Barkley421,1,1,1,48.79823333,-125.2005417,,,,
422,Barkley,Barkley422,1,1,1,48.79816389,-125.2001444,,,,
423,Barkley,Barkley423,1,1,1,48.79807778,-125.1997583,,,,
424,Barkley,Barkley424,1,1,1,48.79798056,-125.1993778,,,,
425,Barkley,Barkley425,1,1,1,48.79791667,-125.1989806,,,,
426,Barkley,Barkley426,1,1,1,48.79786111,-125.1985806,,,,
427,Barkley,Barkley427,1,1,1,48.79781111,-125.1981778,,,,
428,Barkley,Barkley428,1,1,1,48.79779167,-125.1977694,,,,
429,Barkley,Barkley429,1,1,1,48.79773611,-125.1973694,,,,
430,Barkley,Barkley430,1,1,1,48.79768611,-125.1969861,,,,
431,Barkley,Barkley431,1,1,1,48.79766389,-125.1965778,,,,
432,Barkley,Barkley432,1,1,1,48.79764722,-125.1961694,,,,
433,Barkley,Barkley433,1,1,1,48.79768056,-125.1957611,,,,
434,Barkley,Barkley434,1,1,1,48.79770278,-125.1953556,,,,
435,Barkley,Barkley435,1,1,1,48.79770556,-125.1949444,,,,
436,Barkley,Barkley436,1,1,1,48.79771667,-125.1945361,,,,
462,Barkley,Barkley462,1,1,1,48.80068889,-125.189625,,,,
463,Barkley,Barkley463,1,1,1,48.80064167,-125.189225,,,,
464,Barkley,Barkley464,1,1,1,48.80058889,-125.188825,,,,
465,Barkley,Barkley465,1,1,1,48.80056667,-125.1884167,,,,
466,Barkley,Barkley466,1,1,1,48.80055833,-125.1880083,,,,
467,Barkley,Barkley467,1,1,1,48.80061389,-125.1876083,,,,
468,Barkley,Barkley468,1,1,1,48.80066389,-125.1872083,,,,
469,Barkley,Barkley469,1,1,1,48.80071111,-125.1868056,,,,
470,Barkley,Barkley470,1,1,1,48.80073611,-125.1864,,,,
471,Barkley,Barkley471,1,1,1,48.80095833,-125.1861778,,,,
514,Barkley,Barkley514,1,1,1,48.81115278,-125.1827194,,,,
515,Barkley,Barkley515,1,1,1,48.81101389,-125.1823694,,,,
516,Barkley,Barkley516,1,1,1,48.810875,-125.1820194,,,,
540,Barkley,Barkley540,1,1,1,48.81287778,-125.1828778,,,,
542,Barkley,Barkley542,1,1,1,48.81300833,-125.1809556,,,,
543,Barkley,Barkley543,1,1,1,48.81297222,-125.1806028,,,,
544,Barkley,Barkley544,1,1,1,48.81302778,-125.1802472,,,,
558,Barkley,Barkley558,1,1,1,48.81450556,-125.1786778,,,,
564,Barkley,Barkley564,1,1,1,48.81368056,-125.1772444,,,,
565,Barkley,Barkley565,1,1,1,48.81357222,-125.1768806,,,,
567,Barkley,Barkley567,1,1,1,48.81395556,-125.1763361,,,,
568,Barkley,Barkley568,1,1,1,48.81393889,-125.175975,,,,
575,Barkley,Barkley575,1,1,1,48.81519167,-125.17535,,,,
578,Barkley,Barkley578,1,1,1,48.81561111,-125.1748,,,,
579,Barkley,Barkley579,1,1,1,48.81558611,-125.1744472,,,,
582,Barkley,Barkley582,1,1,1,48.81562778,-125.1736278,,,,
589,Barkley,Barkley589,1,1,1,48.81490278,-125.1716361,,,,
590,Barkley,Barkley590,1,1,1,48.814975,-125.1713306,,,,
591,Barkley,Barkley591,1,1,1,48.81473333,-125.1714667,,,,
592,Barkley,Barkley592,1,1,1,48.81451944,-125.1717139,,,,
1345,Barkley,Barkley1345,0,1,0,48.8297,-125.152,,,,
1346,Barkley,Barkley1346,0,1,0,48.82844444,-125.1525639,,,,
1347,Barkley,Barkley1347,0,1,0,48.82840556,-125.1529694,,,,
1348,Barkley,Barkley1348,0,1,0,48.82784722,-125.1530306,,,,
1349,Barkley,Barkley1349,1,1,1,48.82708611,-125.1538444,,,,
1350,Barkley,Barkley1350,1,1,1,48.82733889,-125.1538444,,,,
1351,Barkley,Barkley1351,1,1,1,48.827375,-125.1543861,,,,
1352,Barkley,Barkley1352,1,1,1,48.82730556,-125.1551972,,,,
2100,Barkley,Barkley2100,0,1,0,48.83938889,-125.1406917,,,,
2101,Barkley,Barkley2101,0,1,0,48.83934722,-125.140425,,,,
2102,Barkley,Barkley2102,0,1,0,48.839125,-125.1402667,,,,
2103,Barkley,Barkley2103,0,1,0,48.83886389,-125.1403583,,,,
2104,Barkley,Barkley2104,0,1,0,48.83866389,-125.1400861,,,,
2105,Barkley,Barkley2105,0,1,0,48.83845,-125.1398417,,,,
2106,Barkley,Barkley2106,1,1,1,48.83814722,-125.1347722,,,,
