,site,lat,lon,dist_in_sound,water,barn_ht,mean_mean_daily_temp_c,mean_max_daily_temp_c,mean_min_daily_temp_c,max_max_daily_temp_c
2,Blowhole,48.824293,-125.159378,5960,water,3.6,14.40638118,15.81818182,12.56818182,19
4,Bordelais,48.817634,-125.229917,2490,water,4.34,13.06611367,14.22727273,12,17
6,Dixon,48.851866,-125.123474,9937,water,3.66,15.55512048,16.92045455,13.71590909,19.5
8,EdKing,48.828558,-125.204139,4615,water,4.11,13.5429763,14.71590909,12.32954545,17.5
10,Execution,48.812146,-125.180139,3870,water,3.37,13.33471092,14.375,12.30681818,17.5
12,Fleming112,48.878488,-125.144102,11507,water,3.21,15.5005798,16.81818182,13.89772727,20
14,Fleming114,48.891793,-125.115041,13851,water,3.05,15.88822079,17.06818182,14.57954545,19.5
16,FlemingIslandTurf,48.884945,-125.14714,12056,water,3.17,15.28724102,16.26136364,13.81818182,19
18,FlemingTurfCity,48.885,-125.15096,11948,water,3.08,15.04357776,16.09090909,13.59090909,19
20,Folger,48.830687,-125.248756,3007,water,5.07,13.206607,14.5,12.06818182,17
22,Grappler,48.838181,-125.134626,8277,water,2.9,15.06829593,16.375,13.79545455,19.5
24,Nanat,48.884976,-125.073444,15150,water,3.37,16.20023426,17.04545455,15.05681818,19.5
26,RoquefoilBay,48.863461,-125.10715,11870,water,3.38,15.72095341,16.94318182,14.125,19.5
28,Ross3Trees,48.874973,-125.164916,10555,water,3.83,14.34971594,15.5,12.71590909,18
30,RossMiddle,48.872095,-125.161593,10322,water,3.05,15.42720078,16.61363636,13.81818182,19
32,RossSouthIsland,48.868131,-125.160674,9943,water,3.15,15.23156298,16.42045455,13.81818182,19
34,Sanford,48.86601,-125.173179,9385,water,5.99,13.99802078,15.44886364,12.36363636,18
36,Scotts,48.834378,-125.146661,7530,water,3.13,14.54305559,16.20454545,12.68181818,19.5
38,SeagullIsland,48.87099,-125.171427,9950,water,4.12,14.36753119,15.48863636,12.96590909,18
40,Taylor,48.82743,-125.198038,4742,water,3.77,14.05514063,15.05681818,13,18
42,Tzartus,48.90082,-125.08131,16095,water,3.09,16.14143155,17.07954545,15.11363636,19.5
44,Wizard,48.858061,-125.160574,8730,water,3.85,14.74176029,16.10227273,13.46590909,18.5
